"Corporate ID","Name","Mobile","Email","GST Number","Tour ID","Status","Account Verification","Date Created"
"CARTERX1461(CarterX), VISTARA1461(Vistara)","Bhanu","91-7697644835","bhanu+test@mailinator.com","37AADCS0472N1Z1","UK123456","Enable","Verified","2022-12-28"
"CARTERX1463(CarterX), VISTARA1463(Vistara)","Madhu Test","91-8927445692","madhumanti@gloify.com","07AAGFF2194N1Z1","UK12453","Enable","Verified","2022-12-28"
"CARTERX1417(CarterX), VISTARA1417(Vistara)","Vivekananthan","91-6380713042","vivekananthan@gloify.com","22AABCT5589K2ZY","UK123123","Enable","Verified","2022-12-22"
"AKASAAIR1329(Akasa Air), CARTERX1329(CarterX), VISTARA1329(Vistara)","Prashant Kumar","91-8228966028","prashant.kumar@gloify.com","06AAKFD9709P2ZP","UK9709P2ZP","Enable","Verified","2022-12-01"
"VISTARA1506(Vistara), CARTERX1506(CarterX), AKASAAIR1506(Akasa Air)","Himanshu","91-9205072594","himanshu@gloify.com","06AAKFD9709P2ZP","-","Enable","Verified","2022-12-30"
"-","G Johnson","91-8888888888","ccdd@hhh.com","","-","Disable","Not Verified","-"
"VISTARA989(Vistara)","AT","91-9066227802","abhinav8@mailinator.com","29AAGCC8445A1ZP","-","Disable","Verified","-"
"CARTERX1278(CarterX)","Rajat Kumar Singh","91-8292782606","rajat.kumar@gloify.com","12DWWPB9503H1Z3","-","Enable","Verified","2022-11-29"
"VISTARA1053(Vistara), AKASAAIR1053(Akasa Air)","Carterxblr","91-9980743388","care@carterporter.in","29AAGCC8445A1ZP","-","Enable","Verified","2022-10-18"
"AKASAAIR1408(Akasa Air)","Neeraj Singhania","91-8746084205","neeraj@mailinator.com","98BBBBB2323A1Z2","-","Enable","Verified","2022-12-15"
"-","Nsjsjsjdbdbdb","91-9467840849","h@demo.com","","-","Enable","Not Verified","2023-01-12"
"-","Johnson","91-7093501677","Bathula.jhonson@gmail.com","","-","Enable","Not Verified","2023-01-12"
"CARTERX1566(CarterX)","Johnson","91-7093501677","Solomomjohnson947@gmail.com","18AABCU9603R1ZM","-","Enable","Not Verified","2023-01-12"
"CARTERX1569(CarterX)","Himanshu ","91-9078754646","demo@mailinator.com","10AABCU9603R1Z2","-","Enable","Not Verified","2023-01-12"
"-","John Son","91-9679567969","johnson@gmail.com","","-","Enable","Not Verified","2023-01-11"
"-","John Son","91-9283756394","raving@gloify.com","","-","Enable","Not Verified","2023-01-11"
"-","John Son","91-9679467964","prashant@gloify.com","","-","Enable","Not Verified","2023-01-11"
"-","John Son","91-9679567945","raving@gloify.com","","-","Enable","Not Verified","2023-01-11"
"-","John Son","91-9679576957","johnsonsalmon37@gmail.com","","-","Enable","Not Verified","2023-01-11"
"-","Johnson Bathula","91-9464484048","7888221193john@gmail.com","","-","Enable","Not Verified","2023-01-11"
"VISTARA1547(Vistara)","Madhu Test","91-8927445692","madhmanti@gloify.com","07AAGFF2194N1Z1","UK12453","Enable","Not Verified","2023-01-11"
"VISTARA1551(Vistara)","Johnson","91-9959353957","jbathula@aiias.edu","26AADCS0472N1Z4","UK98765","Enable","Not Verified","2023-01-11"
"CARTERX1552(CarterX)","Hemant","91-7901732029","hemant_kumar@mailinator.com","18AABCU9603R1ZM","-","Enable","Not Verified","2023-01-11"
"CARTERX1553(CarterX)","Himanshu","91-8465132465","himanshu_mor@mailinator.com","18AABCU9603R1ZM","-","Enable","Not Verified","2023-01-11"
"VISTARA1560(Vistara)","Bhanu","91-8989642549","bhanu_jio@mailintor.com","06AAKFD9709P2ZP","UKJIO1234T5","Enable","Not Verified","2023-01-11"
"VISTARA1561(Vistara)","Bhanu","91-8989642549","bhanu+jio@mailinator.com","06AAKFD9709P2ZP","UKJEO12345","Enable","Verified","2023-01-11"
"-","John","91-5050505050","hhzvyt@gmail.com","","-","Enable","Not Verified","2023-01-10"
"-","Johnson ","91-7875755757","jkzjsksjj@gmail.com","","-","Enable","Not Verified","2023-01-10"
"-","Jack","91-7049461848","shshshshj@gmai.com","","-","Enable","Not Verified","2023-01-10"
"-","Johnson","91-4949464645","jaishsnsb@gmail.com","","-","Enable","Not Verified","2023-01-06"
"-","Johnskn","91-4844848484","jbathula@whenssb.com","","-","Enable","Not Verified","2023-01-06"
"-","Johnson","91-9464675454","jahahshssh@gmail.com","","-","Enable","Not Verified","2023-01-06"
"-","Jack","91-4949448484","joshsbssbb@gmail.com","","-","Enable","Not Verified","2023-01-06"
"-","Johnskn","91-9464844848","shakAhah@gmail.com","","-","Enable","Not Verified","2023-01-06"
"VISTARA1536(Vistara)","Ramya Reddy","91-9980743388","krishinfra@gmail.com","29AABCK3950H1ZG","-","Enable","Verified","2023-01-06"
"VISTARA1535(Vistara)","Prashant Kumar","91-8256454546","prashantkr@gmail.com","07AABCU9603R1ZP","-","Enable","Not Verified","2023-01-06"
"-","John Son","91-9876986789","john@gmail.com","","-","Enable","Not Verified","2023-01-05"
"-","John Son","91-9248376980","prashant@gloify.com","","-","Enable","Not Verified","2023-01-05"
"-","John Son","91-9867986789","raving@gloify.com","","-","Enable","Not Verified","2023-01-05"
"-","John Son","91-9328457340","raving@gloify.com","","-","Enable","Not Verified","2023-01-05"
"-","John Son","91-9869876986","raving@gloify.com","","-","Enable","Not Verified","2023-01-05"
"-","John Son","91-0394857340","raving@gloify.com","","-","Enable","Not Verified","2023-01-05"
"-","John Son","91-9348593495","prashant@gloify.com","","-","Enable","Not Verified","2023-01-05"
"-","John Son","91-9876567898","raving@gloify.com","","-","Enable","Not Verified","2023-01-05"
"VISTARA1534(Vistara)","ATT","91-8000027802","arunoday123@mailinator.com","29AAGCC8445A1ZP","UKASEWD12312","Enable","Not Verified","2023-01-05"
"-","John Son","91-9679567979","prashant@gloify.com","","-","Enable","Not Verified","2023-01-04"
"-","James","91-9384758585","dahun@gamil.com","","-","Enable","Not Verified","2023-01-04"
"-","Vivekananthan","91-6380713040","vivekananthan@gloify.com","","-","Enable","Not Verified","2023-01-03"
"-","John Son","91-8686868686","prashant@gloify.com","","-","Enable","Not Verified","2023-01-03"
"-","John Son","91-9238457340","prashant@gloify.com","","-","Enable","Not Verified","2023-01-03"
"-","Johnson Solmoon Raj","91-9459696969","dahun@gamil.com","","-","Enable","Not Verified","2023-01-03"
"-","Johnson","91-8565656565","dahun@gamil.com","","-","Enable","Not Verified","2023-01-03"
"-","Jack","91-9495969696","american@gmail.com","","-","Enable","Not Verified","2023-01-03"
"-","Johson","91-9494857484","asldkjf@gmail.com","","-","Enable","Not Verified","2023-01-03"
"-","Johnson","91-9383748484","a;ljfkds@gmail.com","","-","Enable","Not Verified","2023-01-03"
"-","American","91-9587589975","johnsonsalmon37@gmail.com","","-","Enable","Not Verified","2023-01-03"
"-","John Son","91-9679589659","johnsonsalmon37@gmail.com","","-","Enable","Not Verified","2023-01-03"
"-","John Son","91-9567956796","raving@gloify.com","","-","Enable","Not Verified","2023-01-03"
"-","John Son","91-9678496795","prashant@gloify.com","","-","Enable","Not Verified","2023-01-03"
"-","Johnson","91-9382394849","ldkdkd@gmail.com","","-","Enable","Not Verified","2023-01-03"
"-","Johnson","91-9337252929","laksdjf@gmail.com","","-","Enable","Not Verified","2023-01-03"
"-","Himanshu Mor","91-9901564276","himanshu@gloify.com","","-","Enable","Not Verified","2023-01-03"
"-","Johnson","91-9768754634","john@gmail.com","","-","Enable","Not Verified","2023-01-03"
"-","Hashiket","91-9325002434","hashiket@mailinator.com","","-","Enable","Not Verified","2022-12-30"
"-","Bhanu","91-9998740000","himanshu@mailinator.com","","-","Enable","Not Verified","2022-12-30"
"-","John Son","91-5435345345","prashant@gloify.com","","-","Enable","Not Verified","2022-12-30"
"-","John Son","91-4945949549","johnsonsalmon37@gmail.com","","-","Enable","Not Verified","2022-12-30"
"-","John Son","91-8568548565","prashant@gloify.com","","-","Enable","Not Verified","2022-12-30"
"-","Johnson","91-9393939393","dahun@gamil.com","","-","Enable","Not Verified","2022-12-30"
"-","Johnson","91-8494949494","dahun@gamil.com","","-","Enable","Not Verified","2022-12-30"
"-","Johnson","91-7848484844","dahun@gamil.com","","-","Enable","Not Verified","2022-12-30"
"CARTERX1490(CarterX)","Abhinav Corporate","91-9066227802","abhinav123@mailinator.com","22AABCT5589K2ZN","-","Enable","Verified","2022-12-30"
"CARTERX1491(CarterX)","Abhinav Corporation ","91-9066227802","abhinav234@mailinator.com","22AABCT5589K2ZU","-","Enable","Verified","2022-12-30"
"VISTARA1500(Vistara)","AT","91-8000027802","arunoday12@mailinator.com","29AAGCC8445A1ZP","-","Enable","Not Verified","2022-12-30"
"CARTERX1504(CarterX)","Abhinav New Corporate ","91-9035488425","abhinav098@mailinator.com","22AAAAA5460B2Z5","-","Enable","Not Verified","2022-12-30"
"CARTERX1505(CarterX)","Abhinav New Corp","91-9035488425","hashiket@gloify.com","22AAAAA0000A1Z5","-","Enable","Verified","2022-12-30"
"-","John Son","91-9879579879","johnsonsalmon37@gmail.com","","-","Enable","Not Verified","2022-12-29"
"-","John Son","91-9769679897","prashant@gloify.com","","-","Enable","Not Verified","2022-12-29"
"-","Johnson","91-9340573453","dahun@gamil.com","","-","Enable","Not Verified","2022-12-29"
"-","Johnson","91-9999999944","american@gmail.com","","-","Enable","Not Verified","2022-12-29"
"-","Johnson","91-9343898480","jkkk@gmail.com","","-","Enable","Not Verified","2022-12-29"
"-","Prashant Kumar","91-9228966028","prashant.kumar@gloify.com","","-","Enable","Not Verified","2022-12-28"
"CARTERX1459(CarterX)","Rajat Kumar Singh ","91-8292782606","rajat.kumar-test2@gloify.com","22AAAAA0000A1Z5","-","Enable","Not Verified","2022-12-28"
"CARTERX1460(CarterX)","Rajat Kumar Singh","91-8292782606","rajat.kumar+test2@gloify.com","22AAAAA0000A1Z5","-","Enable","Not Verified","2022-12-28"
"CARTERX1464(CarterX)","Madhumanti","91-8927445692","madhumanti+test@gloify.com","22AAAAA0000A1Z5","-","Enable","Verified","2022-12-28"
"CARTERX1469(CarterX)","Rajat Kumar Singh","91-8292782606","Rajat.kumar+test@gmail.com","22AAAAA0000A1Z5","-","Enable","Not Verified","2022-12-28"
"CARTERX1471(CarterX)","Sikha Khan","91-9113488911","shikha+test@gloify.com","22AAAAA0000A1Z5","-","Enable","Not Verified","2022-12-28"
"CARTERX1479(CarterX)","Pitabash ","91-9583871974","pitabash@gloify.com","22AAAAA7654A1Z5","-","Enable","Verified","2022-12-28"
"-","Solomon Raj","91-9999999998","7888221193john@gmail.com","","-","Enable","Not Verified","2022-12-27"
"-","John Son","91-7777777775","7888221193john@gmail.com","","-","Enable","Not Verified","2022-12-27"
"-","John Son","91-7777777776","7888221193john@gmail.com","","-","Enable","Not Verified","2022-12-27"
"-","John Son","91-9345873409","7888221193john@gmail.com","","-","Enable","Not Verified","2022-12-27"
"-","John Son","91-9876543456","7888221193john@gmail.com","","-","Enable","Not Verified","2022-12-27"
"VISTARA1451(Vistara)","AT","91-9066227802","abhinav8@carterporter.in","29AAGCC8445A1ZP","-","Enable","Not Verified","2022-12-27"
"VISTARA1452(Vistara)","AT","91-9066227802","abhinav9@mailinator.com","29AAGCC8445A1ZP","-","Enable","Not Verified","2022-12-27"
"-","John Son","91-9085934573","7888221193john@gmail.com","","-","Enable","Not Verified","2022-12-26"
"-","JOHNSON SOLOMON RAJ","91-9283457458","7888221193john@gmail.com","","-","Enable","Not Verified","2022-12-26"
"-","Nishanta","91-6259836522","nishat@gmail.com","","-","Enable","Not Verified","2022-12-26"
"-","Nishant","91-9874521026","nishant@gmail.com","","-","Enable","Not Verified","2022-12-26"
"-","Rahul","91-9586321020","rahul@gmail.com","","-","Enable","Not Verified","2022-12-26"
